[debug] 2008.12.06 16:56:34 UTC, , line 40:  request processing started, logger initialized
[debug] 2008.12.06 16:56:34 UTC, PgConnection->connect, line 91:  database connection successful
[debug] 2008.12.06 16:56:34 UTC, PgConnection->query, line 109:  executed query "BEGIN WORK" (0.00183200836182 sec)
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: ozone_user.user_id, S: ozone_session.user_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: ozone_user.user_id, S: ozone_user_group_relation.user_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: ozone_group.group_id, S: ozone_user_group_relation.group_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: ozone_user., S: ozone_user_permission_modifier.user_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: ozone_permission.permission_id, S: ozone_user_permission_modifier.permission_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: ozone_group.group_id, S: ozone_group_permission_modifier.group_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: ozone_permission.permission_id, S: ozone_group_permission_modifier.permission_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: site.site_id, S: page.site_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: site.site_id, S: ucookie.site_id 
[debug] 2008.12.06 16:56:34 UTC, DBGeneratorReferencer->processXMLTable, line 49:  found reference: M: ozone_session.session_id, S: ucookie.session_id 
[debug] 2008.12.06 16:56:34 UTC, PgConnection->query, line 109:  executed query "SELECT column_name  FROM information_schema.columns WHERE table_schema='public' AND table_name='ozone_lock'" (0.0179569721222 sec)
